Name,Address,City,Zip,COUNTY,LONGLAT,USNG,DESCRIPT,PARCELID,FACILITY_TYPE,x,y
FLORIDA BIBLE CHURCH,9300 PEMBROKE RD,HOLLYWOOD,33025,BROWARD,"-80.26816996,25.99284586",17R NJ 73245 75096,,514120090010,PUBLIC SCHOOL,-8935411.80682447,2998194.8993597035
The Villages Elementary School - Intermediate Center,521 OLD SCHOOL RD  ,THE VILLAGES,32162,SUMTER,"-82.02784974,28.92640774",17R LN 99813 00266,,,PUBLIC SCHOOL,-9131298.464422215,3366282.7190811187
JACKSONVILLE YOUTH CENTER,202 CENTURY 21 DR STE 1,JACKSONVILLE,32216,DUVAL,"-81.57255819,30.31165595",17R MP 44951 53459,,,PUBLIC SCHOOL,-9080615.640903724,3543673.5446216753
ANGLEWOOD CENTER,1809 PANTHER LN,FORT PIERCE,34947,ST. LUCIE,"-80.37609388,27.46411772",17R NL 61645 37997,,,PUBLIC SCHOOL,-8947425.842349555,3181577.755218764
ELEMENTARY SCHOOL M,2675 PACETTI RD,SAINT AUGUSTINE,32092,ST. JOHNS,"-81.49763841,29.92189772",17R MP 51966 10235,,,PUBLIC SCHOOL,-9072275.608322438,3493514.468593124
EMERALD HILLS SCHOOL,3270 STIRLING ROAD,HOLLYWOOD,33021,BROWARD,"-80.17537875,26.04736267",17R NJ 82494 81189,,,PUBLIC SCHOOL,-8925082.336798204,3004948.196950142
ADULT EDUCATION CENTER,5633 OCEAN SHORE BLVD,PALM COAST ,32137,FLAGLER,,,,,PUBLIC SCHOOL,-9039053.092616044,3453252.3679485754
PARAGON ACADEMY OF TECHNOLOGY,502 N 28TH AVE,HOLLYWOOD,33020,BROWARD,"-80.16462881,26.01521420",17R NJ 83593 77636,,514216025950,PUBLIC SCHOOL,-8923885.65858576,3000965.40877022
PARAGON ACADEMY OF TECHNOLOGY,502 N 28TH AVE,HOLLYWOOD,33020,BROWARD,"-80.16462881,26.01521420",17R NJ 83593 77636,,514216025950,PUBLIC SCHOOL,-8923885.65858576,3000965.40877022
GLOBAL LEARNING ACADEMY,100 N P ST,PENSACOLA,32505,ESCAMBIA,"-87.24189969,30.42350061",16R DU 76769 65739,,,PUBLIC SCHOOL,-9711723.848794827,3558103.882744401
CHAMPIONSHIP ACADEMY OF DISTINCTION AT HOLLYWOOD,1100 HILLCREST DRIVE,HOLLYWOOD,33021,BROWARD,,,,,PUBLIC SCHOOL,-8926683.42453912,2999140.6444798205
CLAY CHARTER ACADEMY,1417 RED APPLE ROAD,MIDDLEBURG,32068,CLAY,,,,,PUBLIC SCHOOL,-9112593.247198159,3519432.9045723733
EAGLES NEST MIDDLE CHARTER SCHOOL,201 N UNIVERSITY DR,POMPANO BEACH,33071,BROWARD,"-80.25259882,26.23352554",17R NK 74650 01760,,484134026040,PUBLIC SCHOOL,-8933678.435791766,3028032.9477349264
C.L. OVERTURF 6TH GRADE CENTER,"1100 S 18TH ST, PALATKA, FL",CITY OF PALATKA, ,PUTNAM,"-81.64771924,29.63938431",17R MN 37303 79002,,,PUBLIC SCHOOL,-9088982.530106332,3457279.7709034877
FRANKLIN ACADEMY B,4500 NW 103RD AVENUE,SUNRISE,33351,BROWARD,,,,,PUBLIC SCHOOL,-8937449.70958063,3021439.344523353
ECKERD YOUTH ALTERNATIVES,584 NW UNIVERSITY BLVD,PORT ST. LUCIE\t,34986,ST. LUCIE,"-80.40650747,27.32034116",17R NL 58716 22056,,,PUBLIC SCHOOL,-8950811.467758253,3163551.4686892675
THE ACADEMY OF BUSINESS AND LEADERSHIP EDUCATION (ABLE),149 SAN MARCO AVE,ST AUGUSTINE,32084,ST. JOHNS,"-81.31879418,29.90688897",17R MP 69224 08510,,,PUBLIC SCHOOL,-9052366.759673627,3491586.894753978
MCARTHUR ELEMENTARY,330 E TEN MILE RD,PENSACOLA,32534,ESCAMBIA,"-87.26819056,30.55220212",16R DU 74278 80007,,,PUBLIC SCHOOL,-9714650.53595585,3574729.5991653185
AGRISCIENCE EDUCATION CENTER,11261 PICOS RD,FORT PIERCE,34945,ST. LUCIE,"-80.43881203,27.43246353",17R NL 55464 34461,,,PUBLIC SCHOOL,-8954407.595456757,3177607.03224395
SunED High of North Broward,1117 BANKS ROAD,MARGATE,33063,BROWARD,,,,,PUBLIC SCHOOL,-8927315.425137872,3029240.446073292
The Villages Charter Elementary School - Primary Center,420 VILLAGE CAMPUS CIR,THE VILLAGES,32162,SUMTER,"-82.02518213,28.92363836",17R MM 00071 99957,,,PUBLIC SCHOOL,-9131001.506686373,3365930.4948775754
LOLA M. CULVER ELEMENTARY SCHOOL,580 LAWTON AVE,JACKSONVILLE,32208,DUVAL,"-81.64287522,30.38616414",17R MP 38237 61752,,,PUBLIC SCHOOL,-9088443.29692158,3553284.848311704
K-8 SCHOOL KK,2135 PALM VALLEY RD,PONTE VEDRA,32081,ST. JOHNS,"-81.40777174,30.12059082",17R MP 60718 32218,,,PUBLIC SCHOOL,-9062271.697033918,3519060.1054046266
WISE EDUCATION CENTER,555 WALTON RD,DEFUNIAK SPRINGS,32433,WALTON,,,,,PUBLIC SCHOOL,-9587513.896346861,3599292.412545803
AVANT GARDE K-8 BROWARD,2025 MCKINLEY STREET,HOLLYWOOD,33020,BROWARD,,,,,PUBLIC SCHOOL,-8922076.379567472,3002225.795635457
BRANFORD ELEMENTARY SCHOOL,26801 STATE ROAD 247,BRANFORD,32008,SUWANNEE,"-82.91850739,29.96393536",17R LP 14880 16337,COUNTY,1606S14E03953000000,PUBLIC SCHOOL,-9230446.02041773,3498914.911389807
WEST BROWARD ACADEMY AT EXCELSIOR,10038 W MCNAB ROAD,TAMARAC,33321,BROWARD,,,,,PUBLIC SCHOOL,-8938162.371032681,3024741.729699956
BROWARD MATH AND SCIENCE SCHOOLS,6101 NW 31ST ST,POMPANO BEACH,33063,BROWARD,"-80.20517112,26.26929031",17R NK 79363 05750,,484124090010,PUBLIC SCHOOL,-8928398.808097806,3032472.1107179667
PUTNAM EDGE HIGH SCHOOL,"951 MOSELEY AV, PALATKA, FL",CITY OF PALATKA, ,PUTNAM,"-81.64941232,29.64081106",17R MN 37140 79161,,,PUBLIC SCHOOL,-9089171.002948666,3457462.506656221
GUS STAVROS INST,12100 STARKEY RD,LARGO,33773,PINELLAS,,,,,PUBLIC SCHOOL,-9213185.701592287,3234216.907860273
ATI CAREER TRAINING CENTER,2890 NW 62ND ST,FORT LAUDERDALE,33309,BROWARD,"-80.18442836,26.20180025",17R NJ 81482 98288,,494208090011,PUBLIC SCHOOL,-8926089.734761465,3024096.311871474
GULF POWER DOUGLAS L. MCCRARY TRAINING STORM CENTER,9220 PINE FOREST RD,PENSACOLA,32534,ESCAMBIA,"-87.31203747,30.53051952",16R DU 70066 77615,,,PUBLIC SCHOOL,-9719531.55144874,3571927.0899852933
GAINES ALTERNATIVE SCHOOL AT THE EVELYN HAMBLEN CENTER,1 CHRISTOPHER ST,ST AUGUSTINE,32084,ST. JOHNS,"-81.32931886,29.88776680",17R MP 68202 06394,,,PUBLIC SCHOOL,-9053538.362416914,3489131.45425815
RENAISSANCE CHARTER SCHOOL AT PINES,10501 PINES BOULEVARD,PEMBROKE PINES,33026,BROWARD,,,,,PUBLIC SCHOOL,-8937440.030050665,3000241.435923364
BANNERMAN LEARNING CENTER,608 MILL STREET,GREEN COVE SPRINGS,32043,CLAY,"-81.69099915,29.99670745",17R MP 33351 18621,,,PUBLIC SCHOOL,-9093800.427848915,3503126.6234798934
BLOUNTSTOWN MIDDLE SCHOOL,17586 MAIN ST N,BLOUNTSTOWN,32424,CALHOUN,"-85.04656345,30.44852098",16R FU 87569 70107,,,PUBLIC SCHOOL,-9467340.13719965,3561334.303959183
LACKAWANNA ALTERNATIVE EDUCATION CENTER,3108 LENOX AVE,JACKSONVILLE,32254,DUVAL,"-81.70803548,30.32156889",17R MP 31932 54631,,,PUBLIC SCHOOL,-9095696.903307723,3544951.8582478263
NORTH LAUDERDALE ACADEMY HIGH SCHOOL,7101 KIMBERLY BLVD,POMPANO BEACH,33068,BROWARD,"-80.22127368,26.21921788",17R NK 77789 00194,MUNICIPAL,494102010051,PUBLIC SCHOOL,-8930191.336361382,3026257.447213708
PUNTA GORDA MIDDLE SCHOOL,825 CARMALITA ST,PUNTA GORDA,33950,CHARLOTTE,"-82.03426725,26.92889722",17R LK 97317 78979,COUNTY,412308128001,PUBLIC SCHOOL,-9132012.85803384,3114591.201786147
K-8 SCHOOL LL,1365 SHETLAND DR,SAINT JOHNS,32259,ST. JOHNS,"-81.58864961,30.08415826",17R MP 43273 28256,,,PUBLIC SCHOOL,-9082406.928642299,3514372.19609247
REYNOLDS CHAPEL,5629 STATE ROAD 16 W,STARKE,32091,CLAY,"-81.98508588,29.97848624",17R MP 04967 16809,STATE,15-06-23-000572-000-00,PUBLIC SCHOOL,-9126538.013244966,3500784.749420849
POMPANO BEACH ARTIFICIAL KIDNEY CENTER,600 SW 3RD ST,POMPANO BEACH,33060,BROWARD,"-80.13514491,26.22549044",17R NK 86388 00944,,,PUBLIC SCHOOL,-8920603.525736935,3027035.8096421845
PUTNAM ACADEMY OF ARTS AND SCIENCES,113 PUTNAM COUNTY BLVD,EAST PALATKA,32131,PUTNAM,"-81.60148092,29.64877493",17R MN 41784 80018,,,PUBLIC SCHOOL,-9083835.304269006,3458482.5576379383
SUWANNEE ELEMENTARY SCHOOL,1748 S OHIO AVE,LIVE OAK,32064,SUWANNEE,"-82.99122300,30.27803446",17R LP 08469 51272,COUNTY,2602S13E07898000000,PUBLIC SCHOOL,-9238540.684819479,3539338.879661847
BROWARD MATH AND SCIENCE SCHOOLS,6101 NW 31ST ST,POMPANO BEACH,33063,BROWARD,"-80.20517112,26.26929031",17R NK 79363 05750,,484124090010,PUBLIC SCHOOL,-8928398.808097806,3032472.1107179667
MOSELEY ELEMENTARY SCHOOL,1001 HUSSON AVE,PALATKA, ,,"-81.65273177,29.63960742",17R MN 36818 79030,,,PUBLIC SCHOOL,-9089540.522129375,3457308.346921516
KENANSVILLE CHARTER MIDDLE SCHOOL,1181 SOUTH CANOE CREEK RD,KENANSVILLE,34739,,"-80.99751000,27.87594000",17R NL 00245 83459,,,PUBLIC SCHOOL,-9016601.568701666,3233341.6464444334
Eustis High - 9th Grade Curtright Campus,1801 Bates Ave,Eustis,32726,,"-81.66651378,28.85951993",17R MM 34993 92604,,,PUBLIC SCHOOL,-9091074.728745572,3357778.1909061703
GIRLS PLACE HEALTHY LEARNING ACADEMY,2101 NW 39TH AVE,GAINESVILLE,32605,ALACHUA,"-82.35155794,29.68778558",17R LN 69233 84954, ,08989 001 000,PUBLIC SCHOOL,-9167333.495686183,3463480.391046547
EXPRESSIONS LEARNING ARTS ACADEMY,5408 SW 13TH ST,GAINESVILLE,32608,ALACHUA,"-82.34179079,29.60269586",17R LN 70068 75513, ,07229 000 000,PUBLIC SCHOOL,-9166246.222121304,3452581.6497707944
BOULWARE SPRINGS YMCA,1303 NE 23RD AVE,GAINESVILLE, ,ALACHUA,"-82.30836161,29.67330255",17R LN 73394 83301,,,PUBLIC SCHOOL,-9162524.902095778,3461624.67656784
HIGH SPRINGS COMMUNITY SCHOOL,1015 N MAIN ST,HIGH SPRINGS,32643,ALACHUA,"-82.58980682,29.83417868",17R LP 46402 01471,,00236 002 000,PUBLIC SCHOOL,-9193855.239393033,3482252.817673953
WESTWOOD MIDDLE SCHOOL,3215 NW 15TH AVE,GAINESVILLE,32605,ALACHUA,"-82.37053028,29.66494122",17R LN 67367 82444,,06434 000 000,PUBLIC SCHOOL,-9169445.486663701,3460553.459065224
P.K. YONGE DEVELOPMENTAL RESEARCH SCHOOL,1080 SW 11TH ST,GAINESVILLE,32601,ALACHUA,"-82.33526071,29.64037699",17R LN 70749 79682,D,15630 000 000,PUBLIC SCHOOL,-9165519.296736851,3457406.9115202045
ALACHUA COUNTY SUPERINTENDENT'S OFFICE,620 E UNIVERSITY AVE,GAINESVILLE,32601,ALACHUA,"-82.31914534,29.65270026",17R LN 72325 81029,C,12591 000 000,PUBLIC SCHOOL,-9163725.341313368,3458985.3616825948
KIMBALL WILES ELEMENTARY SCHOOL,4601 SW 75TH ST,GAINESVILLE,32608,ALACHUA,"-82.42029932,29.61133188",17R LN 62477 76561,,06879 002 000,PUBLIC SCHOOL,-9174985.751405729,3453687.3776764045
GLEN SPRINGS ELEMENTARY SCHOOL,2826 NW 31ST AVE,GAINESVILLE,32605,ALACHUA,"-82.36486884,29.68239089",17R LN 67937 84371,,06092 006 000,PUBLIC SCHOOL,-9168815.25861236,3462789.1365089496
MARTIN LUTHER KING ACADEMY,4180 NE 15TH ST,GAINESVILLE,32609,ALACHUA,"-82.30661074,29.68990914",17R LN 73584 85139, ,08159 006 000,PUBLIC SCHOOL,-9162329.996082054,3463752.505635932
HIDDEN OAK ELEMENTARY SCHOOL,9205 NW 23RD AVE,GAINESVILLE,32606,ALACHUA,"-82.44085796,29.67177271",17R LN 60570 83284,,06303 015 000,PUBLIC SCHOOL,-9177274.32858409,3461428.6730912672
MYCROSCHOOL OF INTEGRATED ACADEMICS AND TECHNOLOGIES,2209 NW 13TH ST,GAINESVILLE, ,ALACHUA,"-82.33780278,29.67285951",17R LN 70544 83284,,,PUBLIC SCHOOL,-9165802.27893666,3461567.91387048
LITTLEWOOD ELEMENTARY SCHOOL,812 NW 34TH ST,GAINESVILLE,32605,ALACHUA,"-82.37371401,29.66030390",17R LN 67053 81934,,06400 096 000,PUBLIC SCHOOL,-9169799.89789086,3459959.3852213346
C. W. NORTON ELEMENTARY SCHOOL,2200 NW 45TH AVE,GAINESVILLE,32605,ALACHUA,"-82.35453968,29.69649439",17R LN 68955 85922,,07891 001 002,PUBLIC SCHOOL,-9167665.42180074,3464596.3808028637
ARCHER ELEMENTARY SCHOOL,14533 SW 170TH ST,ARCHER,32618,ALACHUA,"-82.52256505,29.52024366",17R LN 52441 66592,,05126 000 000,PUBLIC SCHOOL,-9186369.920519816,3442029.5073080184
ABRAHAM LINCOLN MIDDLE SCHOOL,1001 SE 12TH ST,GAINESVILLE,32641,ALACHUA,"-82.30897959,29.64172681",17R LN 73295 79802,,15815 000 000,PUBLIC SCHOOL,-9162593.69520709,3457579.7971932227
EINSTEIN MONTESSORI SCHOOL,5930 SW ARCHER RD,GAINESVILLE,32608,ALACHUA,"-82.40632709,29.60719116",17R LN 63824 76086, ,06895 000 000,PUBLIC SCHOOL,-9173430.36931676,3453157.201942438
A. QUINN JONES SCHOOL,1108 NW 7TH AVE,GAINESVILLE,32601,ALACHUA,"-82.33535178,29.65806374",17R LN 70763 81642,,13857 000 000,PUBLIC SCHOOL,-9165529.433952637,3459672.4134583715
NORTH FLORIDA JUVENILE DETENTION CENTER,3436 NE 39TH AVE,GAINESVILLE,32609,ALACHUA,"-82.27172586,29.67873873",17R LN 76946 83864,S,08184 000 000,PUBLIC SCHOOL,-9158446.629072664,3462321.184954019
MYRA TERWILLIGER ELEMENTARY SCHOOL,301 NW 62ND ST,GAINESVILLE,32607,ALACHUA,"-82.40811085,29.65523007",17R LN 63716 81411,,06655 003 000,PUBLIC SCHOOL,-9173628.937293246,3459309.4213937544
HOSPITAL HOMEBOUND,1817 E UNIVERSITY AVE,GAINESVILLE, ,ALACHUA,"-82.30108577,29.65027854",17R LN 74070 80741,,,PUBLIC SCHOOL,-9161714.959763065,3458675.155318331
MEADOWBROOK ELEMENTARY SCHOOL,11525 NW 39TH AVE,GAINESVILLE,32606,ALACHUA,"-82.46213829,29.68780739",17R LN 58532 85086,,06303 015 000,PUBLIC SCHOOL,-9179643.243994502,3463483.1852423507
NEWBERRY HIGH SCHOOL,400 SW 258TH ST,NEWBERRY,32669,ALACHUA,"-82.61562354,29.64254345",17R LN 43610 80268,,01988 000 000,PUBLIC SCHOOL,-9196729.143781533,3457684.3929141075
LOFTEN HIGH SCHOOL,3000 E UNIVERSITY AVE,GAINESVILLE,32641,ALACHUA,"-82.28700821,29.65556217",17R LN 75439 81312,,10887 002 000,PUBLIC SCHOOL,-9160147.85247633,3459351.9621884134
MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL,3500 NE 15TH ST,GAINESVILLE,32609,ALACHUA,"-82.30681011,29.68424006",17R LN 73558 84511,,08231 001 000,PUBLIC SCHOOL,-9162352.189940808,3463026.0770924506
MICANOPY AREA COOPERATIVE SCHOOL,802 NW SEMINARY ST,MICANOPY,32667,ALACHUA,"-82.28988664,29.50482333",17R LN 74974 64611, ,16814 000 000,PUBLIC SCHOOL,-9160468.278563723,3440056.985382
ALACHUA COUNTY FAMILY SERVICES CENTER/HEADSTART,3600 NE 15TH ST,GAINESVILLE,32609,ALACHUA,"-82.30714024,29.68583864",17R LN 73528 84689,,08231 001 000,PUBLIC SCHOOL,-9162388.94026988,3463230.9130927026
P.K. YONGE DEVELOPMENTAL RESEARCH SCHOOL,1080 SW 11TH ST,GAINESVILLE,32601,ALACHUA,"-82.33526071,29.64037699",17R LN 70749 79682,D,15630 000 000,PUBLIC SCHOOL,-9165519.296736851,3457406.9115202045
PACE CENTER FOR GIRLS,1010 SE 4TH AVE,GAINESVILLE, ,ALACHUA,"-82.31294561,29.64865149",17R LN 72920 80574,,,PUBLIC SCHOOL,-9163035.190984193,3458466.746295104
WILLIAM S. TALBOT ELEMENTARY SCHOOL,5701 NW 43RD ST,GAINESVILLE,32653,ALACHUA,"-82.38727349,29.70801514",17R LN 65804 87237,,06020 002 000,PUBLIC SCHOOL,-9171309.332461208,3466072.8555784333
EASTSIDE HIGH SCHOOL,1201 SE 45TH TER,GAINESVILLE,32641,ALACHUA,"-82.26865165,29.64017579",17R LN 77197 79587,,16178 001 000,PUBLIC SCHOOL,-9158104.409570519,3457381.1423611045
KANAPAHA MIDDLE SCHOOL,5005 SW 75TH ST,GAINESVILLE,32608,ALACHUA,"-82.42106552,29.60634770",17R LN 62396 76009,,06882 000 000,PUBLIC SCHOOL,-9175071.043900168,3453049.2076278613
CHILES ELEMENTARY SCHOOL,2525 SCHOOLHOUSE RD,GAINESVILLE,32608,ALACHUA,"-82.44457755,29.62808600",17R LN 60149 78447,,06852 000 000,PUBLIC SCHOOL,-9177688.391880855,3455832.7897718223
MICANOPY MIDDLE SCHOOL,708 NW OKEHUMPKEE ST,MICANOPY,32667,ALACHUA,"-82.28662652,29.50911231",17R LN 75296 65082, ,16793 002 000,PUBLIC SCHOOL,-9160105.363805458,3440605.587383207
CARING & SHARING LEARNING SCHOOL,1951 SE 4TH ST,GAINESVILLE,32641,ALACHUA,"-82.31539235,29.63367529",17R LN 72664 78917, ,15854 003 000,PUBLIC SCHOOL,-9163307.560979823,3456548.592809899
OAKVIEW MIDDLE SCHOOL,1203 SW 250TH ST,NEWBERRY,32669,ALACHUA,"-82.60532282,29.64099683",17R LN 44605 80082,,01933 001 001,PUBLIC SCHOOL,-9195582.47328588,3457486.300981187
A. L. MEBANE MIDDLE SCHOOL,16401 NW 140TH ST,ALACHUA,32615,ALACHUA,"-82.49320787,29.80529759",17R LN 55694 98145,,03133 000 000,PUBLIC SCHOOL,-9183101.894328598,3478547.1352325077
WALDO COMMUNITY SCHOOL,14450 NE 148TH AVE,WALDO,32694,ALACHUA,"-82.16943532,29.79185590",17R LN 86972 96294,,17073 000 000,PUBLIC SCHOOL,-9147059.698595878,3476822.8197603663
CHESTER SHELL ELEMENTARY SCHOOL,21633 SE 65TH AVE,HAWTHORNE,32640,ALACHUA,"-82.09093815,29.59389998",17R LN 94352 74284,,19793 000 000,PUBLIC SCHOOL,-9138321.433714435,3451455.5528402883
SIDNEY LANIER CENTER,312 NW 16TH AVE,GAINESVILLE,32609,ALACHUA,"-82.32736992,29.66774218",17R LN 71548 82705,,10021 000 000,PUBLIC SCHOOL,-9164640.897391615,3460912.2966913097
STEPHEN FOSTER ELEMENTARY SCHOOL,3800 NW 6TH ST,GAINESVILLE,32609,ALACHUA,"-82.33305961,29.68804699",17R LN 71023 84962,,08262 000 000,PUBLIC SCHOOL,-9165274.27176127,3463513.887201616
J. J. FINLEY ELEMENTARY SCHOOL,1912 NW 5TH AVE,GAINESVILLE,32603,ALACHUA,"-82.34864494,29.65655491",17R LN 69474 81490,,15173 000 000,PUBLIC SCHOOL,-9167009.22241729,3459479.131778893
HOGGETOWNE MIDDLE SCHOOL,1717 NE 9 ST,GAINESVILLE, ,ALACHUA,"-82.31435307,29.66753000",17R LN 72807 82668,,,PUBLIC SCHOOL,-9163191.86925437,3460885.1132529806
ALACHUA ELEMENTARY SCHOOL,13800 NW 152ND PL,ALACHUA,32615,ALACHUA,"-82.49235478,29.79460819",17R LN 55762 96960,C,03337 000 000,PUBLIC SCHOOL,-9183006.928462658,3477175.8680799273
ALACHUA LEARNING CENTER,11100 W STATE ROAD 235,ALACHUA,32615,ALACHUA,"-82.46461900,29.81374929",17R LN 58470 99047, ,03165 000 000,PUBLIC SCHOOL,-9179919.395627046,3479631.4464846137
JOSEPH WILLIAMS ELEMENTARY SCHOOL,1245 SE 7TH AVE,GAINESVILLE,32641,ALACHUA,"-82.30834302,29.64537148",17R LN 73361 80205,,11771 000 000,PUBLIC SCHOOL,-9162522.83266524,3458046.617621556
W. W. IRBY ELEMENTARY SCHOOL,13505 NW 140TH ST,ALACHUA,32615,ALACHUA,"-82.49296611,29.77940250",17R LN 55681 95275,,03931 001 000,PUBLIC SCHOOL,-9183074.981513148,3475225.4911469254
GAINESVILLE HIGH SCHOOL,1900 NW 13TH ST,GAINESVILLE,32605,ALACHUA,"-82.34059584,29.66940328",17R LN 70270 82904,,09009 000 000,PUBLIC SCHOOL,-9166113.200828593,3461125.10839556
LAKE FOREST ELEMENTARY SCHOOL,4401 SE 4TH AVE,GAINESVILLE,32641,ALACHUA,"-82.27142621,29.64769338",17R LN 76937 80423,,10886 002 000,PUBLIC SCHOOL,-9158413.272775805,3458344.0224234266
W. A. METCALFE ELEMENTARY SCHOOL,1250 NE 18TH AVE,GAINESVILLE,32609,ALACHUA,"-82.30847610,29.66887685",17R LN 73378 82810,,10619 001 000,PUBLIC SCHOOL,-9162537.64729655,3461057.6636171355
FLORIDA SIATECH AT GAINESVILLE,5301 NE 40TH TER,GAINESVILLE,32609,ALACHUA,"-82.27254377,29.70434952",17R LN 76898 86703,F,07872 006 000,PUBLIC SCHOOL,-9158537.679066567,3465603.0588995507
HAWTHORNE MIDDLE/HIGH SCHOOL,21403 SE 69TH AVE,HAWTHORNE,32640,ALACHUA,"-82.09381100,29.58955700",17R LN 94069 73805,,19801 000 000,PUBLIC SCHOOL,-9138641.237763686,3450899.576016352
CHARLES W. DUVAL ELEMENTARY SCHOOL,2106 NE 8TH AVE,GAINESVILLE,32641,ALACHUA,"-82.29750656,29.65975102",17R LN 74428 81787,,10858 073 000,PUBLIC SCHOOL,-9161316.523833951,3459888.5582318217
HOWARD W. BISHOP MIDDLE SCHOOL,1901 NE 9TH ST,GAINESVILLE,32609,ALACHUA,"-82.31352707,29.66914558",17R LN 72889 82846,,10609 001 000,PUBLIC SCHOOL,-9163099.91859796,3461092.0931945317
GENESIS PREPARATORY SCHOOL,207 NW 23RD AVE,GAINESVILLE,32609,ALACHUA,"-82.32699131,29.67346244",17R LN 71591 83339, ,09989 000 000,PUBLIC SCHOOL,-9164598.751580266,3461645.1621995526
MARTIN LUTHER KING ACADEMY,4180 NE 15TH ST,GAINESVILLE,32609,ALACHUA,"-82.30661074,29.68990914",17R LN 73584 85139, ,08159 006 000,PUBLIC SCHOOL,-9162329.996082054,3463752.505635932
A. QUINN JONES SCHOOL,1108 NW 7TH AVE,GAINESVILLE,32601,ALACHUA,"-82.33535178,29.65806374",17R LN 70763 81642,,13857 000 000,PUBLIC SCHOOL,-9165529.433952637,3459672.4134583715
PRAIRIE VIEW ELEMENTARY SCHOOL,1700 SE 35TH AVE,GAINESVILLE,32641,ALACHUA,"-82.30247859,29.62144469",17R LN 73899 77548,,16236 002 000,PUBLIC SCHOOL,-9161870.00815725,3454982.3083991683
IDYLWILD ELEMENTARY SCHOOL,4601 SW 20TH TER,GAINESVILLE,32608,ALACHUA,"-82.34855504,29.60948409",17R LN 69422 76273,,07193 000 000,PUBLIC SCHOOL,-9166999.214959674,3453450.784989499
HORIZON CENTER ALTERNATIVE SCHOOL,2802 NE 8TH AVE,GAINESVILLE,32641,ALACHUA,"-82.28861030,29.65989893",17R LN 75289 81794,,10861 000 000,PUBLIC SCHOOL,-9160326.19691448,3459907.506767238
FORT CLARKE MIDDLE SCHOOL,9301 NW 23RD AVE,GAINESVILLE,32606,ALACHUA,"-82.44179999,29.67329998",17R LN 60480 83454,,06303 015 000,PUBLIC SCHOOL,-9177379.195248092,3461624.348042255
SANTA FE HIGH SCHOOL,16213 NW US HWY 441,ALACHUA,32615,ALACHUA,"-82.52337908,29.80617396",17R LN 52780 98281,,03052 000 000,PUBLIC SCHOOL,-9186460.537967723,3478659.564497773
NEWBERRY ELEMENTARY SCHOOL,25705 SW 15TH AVE,NEWBERRY,32669,ALACHUA,"-82.61374548,29.63763974",17R LN 43785 79722,,02530 003 000,PUBLIC SCHOOL,-9196520.079363214,3457056.3321179636
F. W. BUCHHOLZ HIGH SCHOOL,5510 NW 27TH AVE,GAINESVILLE,32606,ALACHUA,"-82.40200559,29.67857265",17R LN 64339 83991,,06152 001 000,PUBLIC SCHOOL,-9172949.302849282,3462299.905391269
BAKER COUNTY ADULT EDUCATION CENTER,523 W MINNESOTA AVE,MACCLENNY,32063,BAKER,"-82.12759562,30.27757116",17R LP 91546 50081,,,PUBLIC SCHOOL,-9142402.124636952,3539279.1580617246
PREK/KINDERGARTEN CENTER,362 SOUTH BLVD E,MACCLENNY,32063,BAKER,"-82.11665096,30.27710741",17R LP 92598 50019,,,PUBLIC SCHOOL,-9141183.770545937,3539219.3795563085
BAKER COUNTY SUPERINTENDENT'S OFFICE,270 SOUTH BLVD E,MACCLENNY,32063,BAKER,"-82.11620476,30.27715066",17R LP 92641 50023,,322S22000000000620,PUBLIC SCHOOL,-9141134.099509824,3539224.954459172
BAKER COUNTY MIDDLE SCHOOL,211 E JONATHAN ST,MACCLENNY,32063,BAKER,"-82.11902509,30.27521619",17R LP 92368 49812,,322S22000000000620,PUBLIC SCHOOL,-9141448.05764396,3538975.5998395295
MACCLENNY ELEMENTARY SCHOOL,1 WILD KITTEN DR,MACCLENNY,32063,BAKER,"-82.13118078,30.29797467",17R LP 91224 52345,,322S22000000000620,PUBLIC SCHOOL,-9142801.222657261,3541909.499515576
BAKER COUNTY SENIOR HIGH SCHOOL,1 WILDCAT DR,GLEN SAINT MARY,32040,BAKER,"-82.15459886,30.28217508",17R LP 88954 50617,,362S21000000000050,PUBLIC SCHOOL,-9145408.11102549,3539872.630580378
WESTSIDE ELEMENTARY SCHOOL,1 PANTHER CIR,GLEN SAINT MARY,32040,BAKER,"-82.15814123,30.28107891",17R LP 88612 50499,,362S21000000000050,PUBLIC SCHOOL,-9145802.446250034,3539731.3249736694
J FRANKLYN KELLER INTERMEDIATE SCHOOL,420 8TH ST S,MACCLENNY,32063,BAKER,"-82.12807192,30.27696454",17R LP 91499 50014,,322S22000000000990,PUBLIC SCHOOL,-9142455.14594992,3539200.9638863266
PATRONIS ELEMENTARY SCHOOL,7400 PATRONIS DR,PANAMA CITY,32408,BAY,"-85.76423854,30.16999494",16R FU 18987 38267,C,30166-010-010,PUBLIC SCHOOL,-9547231.36259439,3525419.8769428013
BAY HIGH SCHOOL,1200 HARRISON AVE,PANAMA CITY,32401,BAY,"-85.65863889,30.17060537",16R FU 29155 38449,C,18058-000-000,PUBLIC SCHOOL,-9535476.063696695,3525498.4766656007
